fecha,producto,categoria,precio,cantidad,cliente_id
2023-09-03,Botas,Casual,150000,4,C168
2023-10-07,Botas,Casual,150000,3,C145
2023-09-07,Zapatillas,Casual,90000,5,C965
2023-07-31,Botas,Casual,150000,5,C471
2023-02-15,Sandalias,Verano,80000,3,C913
2023-09-14,Zapatillas,Casual,90000,2,C473
2023-01-21,Zapatos deportivos,Deportivo,100000,5,C349
2023-10-14,Mocasines,Formal,120000,5,C827
2023-01-28,Zapatos deportivos,Deportivo,100000,5,C327
2023-09-06,Mocasines,Formal,120000,3,C601
2023-03-12,Botas,Casual,150000,1,C135
2023-08-25,Mocasines,Formal,120000,1,C675
2023-09-02,Sandalias,Verano,80000,2,C388
2023-07-20,Mocasines,Formal,120000,3,C714
2023-01-10,Zapatos deportivos,Deportivo,100000,3,C838
2023-05-01,Zapatillas,Casual,90000,3,C416
2023-08-05,Mocasines,Formal,120000,2,C677
2023-03-31,Zapatos deportivos,Deportivo,100000,5,C716
2023-11-28,Sandalias,Verano,80000,3,C671
2023-03-09,Sandalias,Verano,80000,5,C227
2023-10-29,Zapatillas,Casual,90000,5,C657
2023-05-10,Botas,Casual,150000,3,C878
2023-11-08,Botas,Casual,150000,2,C121
2023-01-31,Botas,Casual,150000,4,C862
2023-06-01,Botas,Casual,150000,3,C514
2023-02-05,Botas,Casual,150000,2,C153
2023-11-15,Botas,Casual,150000,4,C263
2023-06-17,Zapatillas,Casual,90000,5,C126
2023-11-17,Zapatos deportivos,Deportivo,100000,5,C336
2023-07-27,Sandalias,Verano,80000,5,C238
2023-08-06,Sandalias,Verano,80000,4,C121
2023-01-10,Sandalias,Verano,80000,4,C372
2023-09-17,Zapatillas,Casual,90000,2,C670
2023-04-17,Botas,Casual,150000,1,C331
2023-11-28,Botas,Casual,150000,5,C191
2023-10-12,Zapatos deportivos,Deportivo,100000,1,C942
2023-08-06,Zapatillas,Casual,90000,1,C921
2023-06-21,Mocasines,Formal,120000,3,C277
2023-10-25,Mocasines,Formal,120000,1,C745
2023-05-29,Zapatillas,Casual,90000,4,C904
2023-03-10,Zapatillas,Casual,90000,2,C334
2023-04-02,Zapatillas,Casual,90000,2,C641
2023-03-07,Sandalias,Verano,80000,3,C374
2023-03-30,Zapatos deportivos,Deportivo,100000,3,C580
2023-08-12,Zapatos deportivos,Deportivo,100000,5,C289
2023-07-05,Zapatillas,Casual,90000,3,C134
2023-06-08,Zapatillas,Casual,90000,4,C493
2023-02-01,Botas,Casual,150000,1,C658
2023-12-02,Zapatos deportivos,Deportivo,100000,2,C956
2023-02-01,Mocasines,Formal,120000,5,C123
2023-04-01,Sandalias,Verano,80000,5,C113
2023-06-26,Mocasines,Formal,120000,2,C742
2023-03-25,Zapatillas,Casual,90000,1,C465
2023-09-18,Mocasines,Formal,120000,1,C642
2023-02-14,Botas,Casual,150000,5,C381
2023-03-20,Mocasines,Formal,120000,3,C476
2023-07-05,Sandalias,Verano,80000,4,C683
2023-09-02,Botas,Casual,150000,4,C608
2023-09-25,Zapatillas,Casual,90000,1,C522
2023-05-02,Mocasines,Formal,120000,4,C149
2023-12-13,Botas,Casual,150000,1,C427
2023-12-24,Botas,Casual,150000,2,C922
2023-05-13,Zapatos deportivos,Deportivo,100000,5,C371
2023-05-25,Mocasines,Formal,120000,5,C927
2023-09-16,Zapatos deportivos,Deportivo,100000,5,C195
2023-08-03,Sandalias,Verano,80000,2,C792
2023-03-01,Zapatos deportivos,Deportivo,100000,3,C246
2023-08-14,Zapatillas,Casual,90000,2,C951
2023-05-07,Zapatos deportivos,Deportivo,100000,1,C794
2023-01-30,Botas,Casual,150000,4,C771
2023-12-02,Botas,Casual,150000,1,C535
2023-01-31,Mocasines,Formal,120000,4,C574
2023-01-02,Mocasines,Formal,120000,1,C357
2023-12-10,Mocasines,Formal,120000,5,C801
2023-10-31,Zapatillas,Casual,90000,1,C344
2023-11-03,Sandalias,Verano,80000,3,C400
2023-07-16,Zapatos deportivos,Deportivo,100000,1,C738
2023-04-21,Mocasines,Formal,120000,5,C285
2023-10-03,Botas,Casual,150000,4,C608
2023-03-08,Sandalias,Verano,80000,5,C772
